"ItemName","itmId","ItmName","Name","Units","itmDateAdded","itmCode"
"","1024","sample string 3 - sample str","sample string 3","sample str","2023-02-05T00:00:00","sample str"
"","1025","dsads - dsads","dsads","dsads","2023-02-05T00:00:00","sdads"
"","1026","dsads - dads","dsads","dads","2023-02-05T00:00:00","dsads"
"","1027","dads - dsads","dads","dsads","2023-02-05T00:00:00","dsads"
"","1028","dsads - dsads","dsads","dsads","2023-02-05T00:00:00","dsads"
"","1029","saurav - saurav","saurav","saurav","2023-02-05T00:00:00","saurav"
"","1030","dsadsdads - dsads","dsadsdads","dsads","2023-02-05T00:00:00","dad"
"","1031","dads - dasd","dads","dasd","2023-02-05T00:00:00","dsads"
"","1032","sdads - dads","sdads","dads","2023-02-05T00:00:00","dads"
"","1033","dasds - dasd","dasds","dasd","2023-02-05T00:00:00","dads"
"","1034","dsad - dasd","dsad","dasd","2023-02-05T00:00:00","das"
"","1035","dasddads - dsads","dasddads","dsads","2023-02-05T00:00:00","dsads"
"","1036","dasd - dsads","dasd","dsads","2023-02-05T00:00:00","dasd"
"","1037","dasd - dasd","dasd","dasd","2023-02-05T00:00:00","dsadsa"
"","1038","hello - hello","hello","hello","2023-02-06T00:00:00","hello"
"","1039","dsad - dsad","dsad","dsad","2023-02-06T00:00:00","dsa"
"","1040","saurey - saurey","saurey","saurey","2023-02-06T00:00:00","saure"
"","1041","Saurey - 1","Saurey","1","2023-02-06T00:00:00","123"
"","1042","1 - 1","1","1","2023-02-06T00:00:00","1"
"","1043","eqwe - dsads","eqwe","dsads","2023-02-06T00:00:00","dsad"
"","1044","asd - dsa","asd","dsa","2023-02-06T00:00:00","das"
"","1045","Saurav - dsads","Saurav","dsads","2023-02-08T00:00:00","hello"
"","1046","123 - pcs","123","pcs","2023-02-08T00:00:00","hi"
"","1047","dads - dsad","dads","dsad","2023-02-08T00:00:00","dsads"
"","1048","new  - ml","new ","ml","2023-02-08T00:00:00","new "
"","1049","Luniva - dozen","Luniva","dozen","2023-02-08T00:00:00","LU"
"","1050","Yahoo - pcs","Yahoo","pcs","2023-02-08T00:00:00","new"
"","1051","checking - kg","checking","kg","2023-02-08T00:00:00","CK"
"","1052","latest - latest","latest","latest","2023-02-08T00:00:00","Latest"
"","1053","old - old","old","old","2023-02-09T00:00:00","old"
"","1054","today - ttdd","today","ttdd","2023-02-12T00:00:00","Td"
"","1055","tesign - fdsdf","tesign","fdsdf","2023-02-13T00:00:00","123"
